Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
3251|2000100|160|73181599|2|05|TORNILLO DE ACERO|2.13710|144254|144254|7045.65|67500.000|6|1748.25000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-07 16:32:11|
3251|2000161|160|73181606|3|03|TUERCA DE ACERO|0.82265|589635|589635|28870.15|716750.000|6|7899.12000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:09:00|
3251|2000020|160|73181606|2|03|TUERCA DE ACERO|2.85168|323381|323381|15762.60|113400.000|6|2692.44000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 13:53:02|
3129|1007241|170|73269099|3|99|ESPACIADOR DE ACERO|0.63825|0|7659|372.00|12000.000|6|8.76000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-05 16:58:00|
3251|2000023|160|73182999|3|99|PERNO DE ACERO, PIN DE ACERO|2.66383|327332|327332|15955.20|122880.000|6|2882.56000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:25:03|
3129|1007246|170|73181606|2|03|TUERCA DE ACERO|2.37848|0|480096|23579.55|201850.000|6|4023.25000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 09:26:00|
3251|2000020|160|73269099|3|99|ESPACIADOR DE ACERO, GANCHO DE ACERO|15.98820|982075|982075|47869.45|61425.000|6|14355.00000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 13:53:02|
3251|2000026|160|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.40255|13284|13284|647.50|33000.000|6|65.95000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 13:53:03|
3129|1007239|170|73181606|3|03|TUERCA DE ACERO|0.51472|0|886522|43461.86|1722340.000|6|16371.69000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-07 10:45:00|
3172|2000087|640|73181606|1|03|TUERCAS DE ACERO|75.33571|31641|31641|1554.00|420.000|6|52.50000|1|0|0|1||||TWN|TWN| | | | |1|IN|2022-01-21 16:02:01|
3251|2000099|160|73182999|4|99|PERNO DE ACERO, PIN DE ACERO, PIN METALICO|2.07093|425038|425038|20759.68|205240.000|6|4758.94000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-07 16:17:01|
3129|1007244|170|73269099|13|99|MANUFACTURA DE ACERO|4.27574|0|55157|2709.00|12900.000|6|343.41000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 18:23:00|
3129|1007236|170|73269099|6|99|ESPACIADOR DE ACERO|9.53706|0|1287741|63398.66|135025.000|6|18694.10000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-18 17:18:02|
3251|2000100|160|73181606|3|03|TUERCA DE ACERO|2.76113|1550030|1550030|75706.50|561375.000|6|19086.63000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-07 16:32:11|
3129|1007253|170|73269099|1|99|GANCHO DE ACERO|17.93474|0|1227364|60281.02|68435.000|6|17575.24000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 09:30:01|
3129|1007241|170|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.73151|0|125527|6096.80|171600.000|6|659.12000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-05 16:58:00|
3129|1007247|170|73181599|2|99|PERNO ROSCADO|0.83085|0|21602|1060.02|26000.000|6|131.82000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-13 12:08:00|
3251|2000027|160|73182999|4|99|PERNO DE ACERO, PERNO SIN ROSCA|1.65680|139420|139420|6795.76|84150.000|6|1841.94000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 14:00:01|
3251|2000019|160|73181599|1|03|TORNILLO DE ACERO DE USO AUTOMOTRIZ|3.77488|61153|61153|2980.80|16200.000|6|312.12000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 13:53:01|
3251|2000025|160|73269099|6|99|MANUFACTURA DE ACERO|4.30831|165439|165439|8064.00|38400.000|6|1032.96000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 16:26:01|
3129|1007244|170|73182999|8|99|PERNO DE ACERO|1.19110|0|457383|22464.00|384000.000|6|7616.00000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 18:23:00|
3129|1007244|170|73182999|9|99|PERNO SIN ROSCA|1.42526|0|56939|2796.50|39950.000|6|513.57000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-17 18:23:00|
3129|1007238|170|73269099|6|99|GANCHO DE ACERO|7.98254|0|50290|2469.32|6300.000|6|819.45000|1|0|0|0||||MEX|TWN| | | | |2|V1|2022-01-14 16:21:01|
3251|2000161|160|73182302|4|99|REMACHE DE ACERO|0.34720|31248|31248|1530.00|90000.000|6|85.50000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-13 16:09:00|
3251|2000020|160|73181599|1|99|PERNO CON ROSCA|9.23205|179471|179471|8748.00|19440.000|6|1743.12000|1|0|0|6||||TWN|TWN| | | | |1|IN|2022-01-04 13:53:02|
